,RetractionYear,Publisher,Count
334,2015,BioMed Central (BMC),52
335,2015,Taylor and Francis,38
336,2015,American Society for Biochemistry and Molecular Biology (ASBMB),27
337,2015,Hindawi,22
338,2015,SAGE Publications,21
339,2015,PLoS,19
340,2015,Springer - Nature Publishing Group,17
341,2015,Bentham Open,15
342,2015,American Chemical Society (ACS),12
343,2015,Nature Publishing Group,10
344,2015,SPIE,10
345,2015,American Accounting Association,8
346,2015,Royal Society of Chemistry (RSC),8
347,2015,IEEE: Institute of Electrical and Electronics Engineers,7
348,2015,American Association for the Advancement of Science (AAAS),6
349,2015,Cambridge University Press,6
350,2015,e-Century Publishing Corporation,6
351,2015,American Heart Association,5
352,2015,American Society for Microbiology,5
353,2015,EMBO Press,5
354,2015,Oxford University Press,5
355,2015,Scientific Research Publishing (SCIRP),5
356,2015,Wolters Kluwer - Medknow,5
357,2015,American Diabetes Association,4
358,2015,American Medical Association,4
359,2015,De Gruyter,4
360,2015,Frontiers,4
361,2015,National Academy of Sciences (NAS),4
362,2015,Oxford Academic,4
363,2015,Taylor and Francis - Dove Press,4
364,2015,Wolters Kluwer,4
365,2015,APS: American Physiological Society,3
366,2015,American Association of Immunologists,3
367,2015,American Thoracic Society,3
368,2015,Canadian Center of Science and Education,3
369,2015,Cold Spring Harbor Laboratory Press,3
370,2015,ESG,3
371,2015,Elsevier - Cell Press,3
372,2015,IOP Publishing,3
373,2015,Mary Ann Liebert,3
374,2015,Royal Society Publishing,3
375,2015,Society for Neuroscience,3
376,2015,Springer - Biomed Central (BMC),3
377,2015,The Company of Biologists,3
378,2015,ASPET: American Society for Pharmacology and Experimental Therapeutics,2
379,2015,American Association for Cancer Research,2
380,2015,American Society of Plant Biologists,2
381,2015,BMJ Publishing,2
382,2015,Biomedical Informatics Publishing Group,2
383,2015,Karger,2
384,2015,MDPI,2
385,2015,Spandidos,2
386,2015,Wolters Kluwer - Lippincott Williams & Wilkins,2
387,2015,American Physical Society,1
388,2015,American Psychological Association (APA),1
389,2015,American Society for Clinical Investigation,1
390,2015,American Society for Nutrition,1
391,2015,American Society of Civil Engineers,1
392,2015,American Society of Hematology,1
393,2015,"Applied Microbiology, Molecular and Cellular Biosciences Research Foundation",1
394,2015,Asian-Australasian Association of Animal Production Societies (AAAP),1
395,2015,Brill,1
396,2015,CMB Association Publisher,1
397,2015,Canadian Society for Clinical Investigation,1
398,2015,Cogent OA,1
399,2015,Copernicus,1
400,2015,Cornell University,1
401,2015,Future Medicine - Future Science Group,1
402,2015,George Mason University,1
403,2015,IJO Press: Press of International Journal of Ophthalmology,1
404,2015,Informa Healthcare,1
405,2015,Intech,1
406,2015,JAMA Network,1
407,2015,JCDR Research and Publications Limited,1
408,2015,Japanese Association for Laboratory Animal Science,1
409,2015,Korean Academy of Nursing Administration,1
410,2015,Korean Breast Cancer Society,1
411,2015,Korean Society for Microbiology and Biotechnology,1
412,2015,Korean Society of Gastrointestinal Endoscopy,1
413,2015,Korean Society of Nursing Science,1
414,2015,Korean Society of Pathologists and Korean Society for Cytopathology,1
415,2015,"National Institute of Infectious Diseases, Japanese",1
416,2015,Open Journal Systems,1
417,2015,Optica (formerly Optical Society of America -OSA-),1
418,2015,Pan African Medical Journal (PAMJ),1
419,2015,Rockefeller University Press,1
420,2015,Society of Neuroscience,1
421,2015,"The Institute of Electronics, Information and Communication Engineers",1
422,2015,The Korean Society For Biomedical Laboratory Sciences,1
423,2015,The Korean Society for Microbiology and Biotechnology,1
424,2015,The Society of Physical Therapy Science,1
425,2015,The Surface Science Society of Japan,1
426,2015,UTPRESS,1
427,2015,University of Ottawa Press,1
428,2015,Wichtig Publishing,1
429,2015,Zhonghua Yi Xue Hui,1
430,2016,Elsevier,138
431,2016,Wiley,132
432,2016,Bentham Open,63
433,2016,Springer,52
434,2016,American Society for Biochemistry and Molecular Biology (ASBMB),46
435,2016,Taylor and Francis,44
436,2016,Hindawi,34
437,2016,BioMed Central (BMC),27
438,2016,PLoS,18
439,2016,De Gruyter,15
440,2016,Springer - Nature Publishing Group,15
441,2016,Nature Publishing Group,14
442,2016,Spandidos,13
443,2016,The Company of Biologists,13
444,2016,Frontiers,12
445,2016,American Diabetes Association,11
446,2016,Royal Society of Chemistry (RSC),10
447,2016,IOP Publishing,9
448,2016,Cambridge University Press,8
449,2016,Scientific Research Publishing (SCIRP),8
450,2016,Wolters Kluwer,8
451,2016,American Association for the Advancement of Science (AAAS),7
452,2016,IEEE: Institute of Electrical and Electronics Engineers,7
453,2016,SAGE Publications,7
454,2016,American Chemical Society (ACS),6
455,2016,Elsevier - Cell Press,6
456,2016,FUNPEC-RP,6
457,2016,Oxford Academic,6
458,2016,Wolters Kluwer - Medknow,6
459,2016,Cureus (Part of Springer Nature as of December 2022),5
460,2016,Portland Press,5
461,2016,American Association of Immunologists,4
462,2016,American Society of Civil Engineers,4
463,2016,International Union of Crystallography,4
464,2016,MDPI,4
465,2016,Oxford University Press,4
466,2016,Taylor and Francis - Dove Press,4
467,2016,e-Century Publishing Corporation,4
468,2016,American Association for Cancer Research,3
469,2016,JAMA Network,3
470,2016,National Academy of Sciences (NAS),3
471,2016,ASPET: American Society for Pharmacology and Experimental Therapeutics,2
472,2016,American Academy of Special Education Professionals,2
473,2016,American Heart Association,2
474,2016,American Medical Association,2
475,2016,American Psychological Association (APA),2
476,2016,American Society of Plant Biologists,2
477,2016,Canadian Center of Science and Education,2
478,2016,Consejo Superior de Investigaciones Científicas (CSIC),2
479,2016,EDP Sciences,2
480,2016,F1000 Research Ltd,2
481,2016,IOS Press (bought by Sage November 2023),2
482,2016,Impact Journals,2
483,2016,Mary Ann Liebert,2
484,2016,Multidisciplinary Digital Publishing Institute (MDPI),2
485,2016,Publishing House Science (Moscow) (Издательский Дом Наука (Москва)),2
486,2016,Scientific Research Gate,2
487,2016,Springer - Biomed Central (BMC),2
488,2016,World Scientific Publishing Company,2
489,2016,AOSIS Publishing,1
490,2016,Academic Journals,1
491,2016,African Journals Online,1
492,2016,American Geophysical Union,1
493,2016,American Physiological Society,1
494,2016,American Society of Clinical Oncology,1
495,2016,BMJ Publishing,1
